Reaction	Glycerol	Succinate	Acetate	Fructose	Galactose	Gluconate	Glucose	Pyruvate
R_TYRL	-7.78977558789409e-06	-1.1927172109167822e-05	-1.0702535356680772e-05	-1.1602011432568949e-05	-1.3615802856660036e-05	-1.4882137309652556e-05	-1.0150861618154268e-05	-1.0546797837212151e-05
R_TYROXDApp	3.8057600119747677e-07	-2.8034200505930417e-07	-1.9018660742582306e-07	3.047612279739127e-06	-1.6868084918246976e-06	3.930921986642805e-06	6.227264992798841e-07	-1.936530404200757e-06
R_TYRPpp	4.696707872067856e-06	1.8776052729447973e-07	3.292100155503156e-06	6.052742069281059e-06	3.908571650045972e-06	6.153390691642403e-06	5.506296907034873e-06	5.87902585946587e-07
R_TYRPtex	4.696707871974792e-06	1.8776052742447424e-07	3.2921001555108464e-06	6.052742069322104e-06	3.908571649981207e-06	6.15339069163362e-06	5.506296906730712e-06	5.879025858912534e-07
R_TYRTA	-2.798351720484371e-09	1.0587442494831845e-06	-1.6487492145549063e-06	-2.848072275549868e-06	2.8983618292274804e-06	-2.37282221826618e-06	-1.5577287886155144e-06	-5.547025414970319e-07
R_TYRTRS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_TYRt2rpp	-1.119272144583204e-05	-1.5802470431355853e-05	-1.667605941413179e-05	-1.9312942291291497e-05	-1.6344441431528217e-05	-2.3347052126661445e-05	-1.6368051617414447e-05	-1.5503816980665455e-05
R_TYRtex	-1.5889429317759995e-05	-1.5990230958370932e-05	-1.9968159569672128e-05	-2.5365684360963148e-05	-2.0253013081450444e-05	-2.9500442818373995e-05	-2.1874348524221487e-05	-1.609171956664518e-05
R_ThDPAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_U23GAAT	-2.383558324403934e-06	-2.815705970094528e-06	-6.048331459238499e-06	6.317031725311899e-06	-2.0066808532610573e-06	-4.129089022514932e-06	3.5769445955584074e-06	-8.285993280824487e-07
R_UAAGDS	-6.407137963605872e-06	-9.886177732747797e-06	-8.43030118404926e-06	-1.0817518924330367e-05	-1.1942433566223929e-05	-1.2187684646905508e-05	-9.994961791061574e-06	-9.500290048201152e-06
R_UACGALPpp	9.44307221098055e-06	9.758480053710391e-06	9.414003228393862e-06	1.2608354002713818e-05	4.861326324484507e-06	1.0268699140655052e-05	1.0607226129730875e-05	7.612349058873707e-06
R_TTRCYCtpp	0.001472450611943	0.0013756017534237	0.0009749781245544	0.0013080018956603	0.0002876714809989	0.0010882963351762	0.0013877439307106	0.0008956285142058
R_TUNGSabcpp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_TUNGStex	-6.938893903907228e-18	-1.6653345369377348e-16	-4.163336342344337e-17	1.0408340855860844e-16	1.1796119636642288e-16	5.551115123125783e-17	1.873501354054952e-16	-1.3877787807814454e-16
R_URIH	-5.190499211249234e-06	-3.149222357548125e-06	-5.974045907640287e-06	-5.980763788506709e-06	3.643506738937802e-06	-1.360254975077499e-05	-1.1034516061854474e-05	-6.004903207094303e-06
